ปี,จังหวัด,ผลผลิต(ตัน),สัดส่วน,เนื้อที่เก็บเกี่ยว(ไร่),ผลผลิตต่อเนื้อที่เก็บเกี่ยว(กก.)
2562,เพชรบูรณ์,"663,268",13%,"848,251",781.92
2562,นครราชสีมา,"549,088",11%,"707,300",776.32
2562,น่าน,"460,954",9%,"665,244",692.91
2562,ตาก,"416,351",8%,"565,063",736.82
2562,เลย,"345,580",7%,"484,694",712.99
2562,เชียงราย,"294,008",6%,"388,569",756.64
2562,นครสวรรค์,"224,467",4%,"289,450",775.49
2562,พิษณุโลก,"209,044",4%,"272,847",766.16
2562,แพร่,"206,123",4%,"284,617",724.21
2562,พะเยา,"193,006",4%,"252,405",764.67
2562,ลพบุรี,"185,063",4%,"251,634",735.45
2562,สระบุรี,"145,693",3%,"180,264",808.22
2562,ลำปาง,"141,228",3%,"190,972",739.52
2562,อุตรดิตถ์,"140,447",3%,"196,955",713.09
2562,เชียงใหม่,"131,366",3%,"173,910",755.37
2562,อุทัยธานี,"110,763",2%,"126,075",878.55
2562,สระแก้ว,"85,931",2%,"106,915",803.73
2562,ชัยภูมิ,"78,162",2%,"107,132",729.59
2562,กำแพงเพชร,"63,371",1%,"84,667",748.47
2562,กาญจนบุรี,"62,179",1%,"83,951",740.66
2562,ลำพูน,"59,602",1%,"79,532",749.41
2562,อุบลราชธานี,"55,998",1%,"74,848",748.16
2562,สุโขทัย,"47,390",1%,"66,960",707.74
2562,แม่ฮ่องสอน,"45,809",1%,"63,098",726.00
2562,สุพรรณบุรี,"36,400",1%,"46,947",775.34
2562,พิจิตร,"30,918",1%,"42,565",726.37
2562,ศรีสะเกษ,"27,742",1%,"35,446",782.66
2562,หนองบัวลำภู,"17,717",0%,"25,028",707.89
2562,ปราจีนบุรี,"17,502",0%,"22,338",783.51
2562,จันทบุรี,"8,589",0%,"11,737",731.79
2562,ชัยนาท,"7,479",0%,"10,127",738.52
2562,ขอนแก่น,"6,963",0%,"10,475",664.73
2562,ร้อยเอ็ด,"3,954",0%,"5,924",667.45
2562,กาฬสินธุ์,"3,572",0%,"5,970",598.32
2562,เพชรบุรี,"2,844",0%,"4,325",657.57
2562,อุดรธานี,"1,973",0%,"2,727",723.51
2562,ฉะเชิงเทรา,"1,402",0%,"1,923",729.07
2562,อำนาจเจริญ,"1,321",0%,"1,881",702.29
2562,สกลนคร,"1,282",0%,"1,905",672.97
2562,บุรีรัมย์,"1,202",0%,"1,774",677.56
2562,สุรินทร์,"1,094",0%,"1,601",683.32
2562,ราชบุรี,"1,086",0%,"1,719",631.76
2562,หนองคาย,"1,034",0%,"2,286",452.32
2562,มุกดาหาร,605,0%,863,701.04
2562,นครพนม,558,0%,812,687.19
2562,ประจวบคีรีขันธ์,554,0%,865,640.46
2562,ยโสธร,529,0%,764,692.41
2562,มหาสารคาม,479,0%,703,681.37
